COUNTRY;Ano;Divida_Percentual_PIB;Divida_Absoluta_EUR;Divida_Absoluta_USD
Albania;2010;57.7196;5.16;
Albania;2011;59.4124;5.56;
Albania;2012;62.1442;5.93;
Albania;2013;65.5589;6.31;
Albania;2014;70.0897;6.98;
Albania;2015;72.734;7.6;
Albania;2016;72.4364;7.89;
Albania;2017;70.1752;8.18;
Albania;2018;67.6522;8.97;
Albania;2019;64.9884;9.13;
Albania;2020;73.9422;9.89;
Albania;2021;74.0858;11.3;
Albania;2022;64.1299;;
Albania;2023;57.5056;12.49;
Albania;2024;56.3176;14.12;
Albania;2025;55.1472;15.07;
Albania;2026;53.8964;15.63;
Austria;1970;18.6115;2.8;
Austria;1971;17.5174;3.0;
Austria;1972;16.8017;3.4;
Austria;1973;16.8037;4.2;
Austria;1974;16.9292;5.2;
Austria;1975;23.0017;7.4;
Austria;1976;26.3655;10.7;
Austria;1977;28.703;13.1;
Austria;1978;32.3368;15.9;
Austria;1979;34.1486;18.8;
Austria;1980;35.6176;20.7;
Austria;1981;37.3294;24.6;
Austria;1982;39.642;29.7;
Austria;1983;43.8946;35.6;
Austria;1984;46.4086;40.1;
Austria;1985;48.3112;45.0;
Austria;1986;52.6016;54.2;
Austria;1987;56.4226;60.8;
Austria;1988;57.6393;64.7;
Austria;1989;56.909;70.1;
Austria;1990;56.5016;74.1;
Austria;1991;56.7073;80.0;
Austria;1992;56.5985;87.8;
Austria;1993;61.2503;99.3;
Austria;1994;64.3813;111.2;
Austria;1995;68.5892;125.3;
Austria;1996;68.6352;125.2;
Austria;1997;63.8129;118.6;
Austria;1998;64.2096;125.4;
Austria;1999;66.9485;135.9;
Austria;2000;66.4976;141.2;
Austria;2001;67.0794;147.2;
Austria;2002;67.2164;151.3;
Austria;2003;66.2301;152.7;
Austria;2004;65.679;158.0;
Austria;2005;69.1104;174.4;
Austria;2006;67.7876;180.3;
Austria;2007;65.4391;184.7;
Austria;2008;69.1494;201.8;
Austria;2009;80.3477;230.0;
Austria;2010;83.2159;244.7;
Austria;2011;82.9692;255.7;
Austria;2012;82.4541;261.0;
Austria;2013;81.954;263.2;
Austria;2014;84.8196;280.0;
Austria;2015;85.4366;292.3;
Austria;2016;83.293;296.2;
Austria;2017;78.9424;290.0;
Austria;2018;74.4771;285.4;
Austria;2019;70.896;280.5;
Austria;2020;83.183;316.4;
Austria;2021;82.3946;334.7;
Austria;2022;78.3756;351.1;
Austria;2023;78.5519;371.7;
Austria;2024;79.5381;389.9;
Austria;2025;80.8037;409.2;
Austria;2026;81.7953;428.0;
Belgium;1969;62.9218;15.1;
Belgium;1970;60.4637;16.2;
Belgium;1971;60.1094;17.8;
Belgium;1972;60.3189;20.5;
Belgium;1973;58.2348;23.3;
Belgium;1974;54.7419;26.3;
Belgium;1975;56.0924;29.5;
Belgium;1976;56.6999;38.4;
Belgium;1977;59.9833;44.3;
Belgium;1978;63.6583;51.2;
Belgium;1979;66.223;56.3;
Belgium;1980;74.6266;67.0;
Belgium;1981;87.1521;81.2;
Belgium;1982;96.8179;89.9;
Belgium;1983;107.1713;103.6;
Belgium;1984;111.373;120.0;
Belgium;1985;116.0125;133.1;
Belgium;1986;121.1457;150.2;
Belgium;1987;125.5752;162.3;
Belgium;1988;126.0208;172.6;
Belgium;1989;122.835;186.6;
Belgium;1990;126.6238;206.0;
Belgium;1991;128.0033;219.4;
Belgium;1992;129.5975;243.5;
Belgium;1993;135.2062;260.9;
Belgium;1994;133.1881;278.7;
Belgium;1995;131.2865;288.1;
Belgium;1996;129.0046;278.1;
Belgium;1997;124.2707;275.6;
Belgium;1998;119.1859;277.3;
Belgium;1999;115.3621;279.5;
Belgium;2000;109.5887;281.0;
Belgium;2001;108.2171;286.1;
Belgium;2002;105.4363;288.1;
Belgium;2003;101.6595;285.9;
Belgium;2004;97.1697;288.4;
Belgium;2005;95.1418;295.0;
Belgium;2006;91.4942;297.5;
Belgium;2007;87.3246;300.1;
Belgium;2008;93.1598;327.7;
Belgium;2009;99.853;347.2;
Belgium;2010;100.2449;364.1;
Belgium;2011;102.7357;389.1;
Belgium;2012;104.3351;404.8;
Belgium;2013;105.0216;414.4;
Belgium;2014;106.526;431.4;
Belgium;2015;105.5305;438.5;
Belgium;2016;105.4085;451.6;
Belgium;2017;102.4039;454.1;
Belgium;2018;99.9824;459.4;
Belgium;2019;97.4612;467.3;
Belgium;2020;111.1652;515.5;
Belgium;2021;108.4487;548.8;
Belgium;2022;102.6249;578.3;
Belgium;2023;103.131;615.0;
Belgium;2024;103.3767;640.2;
Belgium;2025;105.1246;675.1;
Belgium;2026;107.1621;713.2;
Bulgaria;1997;96.2266;9.27;
Bulgaria;1998;67.4545;9.13;
Bulgaria;1999;75.345;9.65;
Bulgaria;2000;70.7171;10.18;
Bulgaria;2001;64.5051;10.27;
Bulgaria;2002;51.0055;8.89;
Bulgaria;2003;43.3786;8.13;
Bulgaria;2004;35.728;7.53;
Bulgaria;2005;26.5817;6.39;
Bulgaria;2006;20.8721;5.72;
Bulgaria;2007;16.3159;5.3;
Bulgaria;2008;13.016;4.85;
Bulgaria;2009;13.6633;5.11;
Bulgaria;2010;15.2964;5.86;
Bulgaria;2011;15.1519;6.28;
Bulgaria;2012;16.5794;7.01;
Bulgaria;2013;16.9954;7.15;
Bulgaria;2014;27.0061;11.62;
Bulgaria;2015;25.9218;11.87;
Bulgaria;2016;29.1025;14.19;
Bulgaria;2017;25.1089;13.18;
Bulgaria;2018;22.1396;12.43;
Bulgaria;2019;20.0807;12.31;
Bulgaria;2020;24.4404;15.13;
Bulgaria;2021;23.8353;17.01;
Bulgaria;2022;22.482;19.35;
Bulgaria;2023;22.8843;21.67;
Bulgaria;2024;24.495;24.89;
Bulgaria;2025;23.1264;24.74;
Bulgaria;2026;24.5095;27.75;
Croatia;1995;23.2971;3.96;
Croatia;1996;25.3366;4.76;
Croatia;1997;24.6555;5.24;
Croatia;1998;22.6087;5.08;
Croatia;1999;28.8389;6.31;
Croatia;2000;35.4345;8.44;
Croatia;2001;36.5879;9.66;
Croatia;2002;36.4539;10.4;
Croatia;2003;37.8494;11.62;
Croatia;2004;39.9591;13.21;
Croatia;2005;40.8979;15.12;
Croatia;2006;38.3722;15.53;
Croatia;2007;37.0776;16.49;
Croatia;2008;38.915;18.56;
Croatia;2009;47.9152;22.1;
Croatia;2010;56.8021;25.79;
Croatia;2011;63.1302;28.52;
Croatia;2012;68.8496;30.75;
Croatia;2013;79.4796;35.39;
Croatia;2014;83.2238;36.74;
Croatia;2015;82.7694;37.53;
Croatia;2016;79.2553;37.58;
Croatia;2017;76.1723;38.37;
Croatia;2018;72.8471;38.66;
Croatia;2019;70.882;39.42;
Croatia;2020;86.4718;43.78;
Croatia;2021;78.2028;45.74;
Croatia;2022;68.5458;46.33;
Croatia;2023;61.8364;48.25;
Croatia;2024;57.3441;49.45;
Croatia;2025;56.0349;51.51;
Croatia;2026;55.9992;54.03;
Cyprus;1995;49.0433;3.68;
Cyprus;1996;50.2864;3.99;
Cyprus;1997;54.1211;4.57;
Cyprus;1998;55.6702;5.07;
Cyprus;1999;55.7865;5.51;
Cyprus;2000;55.7358;6.02;
Cyprus;2001;57.3221;6.66;
Cyprus;2002;60.5193;7.34;
Cyprus;2003;63.8374;8.18;
Cyprus;2004;64.7663;9.06;
Cyprus;2005;63.4368;9.6;
Cyprus;2006;59.2607;9.6;
Cyprus;2007;54.0318;9.46;
Cyprus;2008;45.5487;8.66;
Cyprus;2009;54.2905;10.14;
Cyprus;2010;56.285;10.95;
Cyprus;2011;65.7561;13.06;
Cyprus;2012;80.1139;15.62;
Cyprus;2013;103.6926;18.71;
Cyprus;2014;108.7572;19.01;
Cyprus;2015;107.5381;19.3;
Cyprus;2016;103.2486;19.63;
Cyprus;2017;93.2217;18.94;
Cyprus;2018;97.8742;21.34;
Cyprus;2019;92.1612;21.57;
Cyprus;2020;113.6045;25.42;
Cyprus;2021;96.4794;24.78;
Cyprus;2022;80.954;23.81;
Cyprus;2023;73.6308;23.08;
Cyprus;2024;66.4028;22.31;
Cyprus;2025;61.3869;21.71;
Cyprus;2026;56.7192;21.02;
Czechia;1995;13.4764;6.2;
Czechia;1996;11.5061;6.2;
Czechia;1997;12.1236;6.3;
Czechia;1998;13.877;8.6;
Czechia;1999;15.0878;9.5;
Czechia;2000;16.8945;11.6;
Czechia;2001;22.5969;18.3;
Czechia;2002;25.7032;22.0;
Czechia;2003;28.0616;24.5;
Czechia;2004;28.2887;28.7;
Czechia;2005;27.6778;31.4;
Czechia;2006;27.5648;35.4;
Czechia;2007;27.346;39.6;
Czechia;2008;28.1549;42.3;
Czechia;2009;33.4305;49.8;
Czechia;2010;36.7001;59.1;
Czechia;2011;39.402;62.6;
Czechia;2012;43.8353;71.8;
Czechia;2013;44.1411;67.1;
Czechia;2014;41.5462;65.6;
